ID_REF	VALUE
syc0741-h_at	270.872495
syc0742-m_at	240.1331516
syc0743-h_at	109.2654765
syc0744-h_at	4086.763177
syc0745-m_at	429.1261878
syc0746-m_at	219.8311119
syc0747-m_at	71.33811492
syc0748-h_at	170.8528677
syc0749-m_at	296.7858705
syc0750-m_at	4418.754273
syc0751-m_at	1389.287969
syc0752-m_at	152.4230632
syc0753-m_at	113.1367591
syc0754-m_at	4131.008046
syc0755-m_at	728.0283762
syc0756-m_at	1162.136927
syc0757-h_at	338.5828443
syc0758-h_at	213.3640306
syc0759-h_at	26.02547138
syc0760-h_at	637.1159282
syc0761-m_at	642.1169736
syc0762-m_at	463.8991592
syc0763-m_at	498.1247101
syc0764-m_at	240.2953527
syc0765-h_at	406.1361611
syc0766-m_at	881.6710212
syc0767-m_at	1079.283084
syc0768-m_at	208.3606276
syc0769-h_at	310.2986667
syc0770-m_at	533.6410118
syc0771-m_at	192.3519518
syc0772-m_at	292.4296257
syc0773-h_at	457.68645
syc0774-h_at	357.4530026
syc0775-h_at	953.4973517
syc0776-h_at	72.11568353
syc0777-h_at	54.56674711
syc0778-m_at	468.5966173
syc0779-m_at	157.2053788
syc0780-m_at	1264.060861
syc0781-m_at	484.5881586
syc0782-h_at	270.1991543
syc0783-h_at	441.2854789
syc0784-h_at	196.8763957
syc0785-h_at	80.29390547
syc0786-h_at	43.65572056
syc0787-h_at	108.4440026
syc0788-h_at	107.188483
syc0789-h_at	257.2441221
syc0790-h_at	779.8382664
syc0791-h_at	1004.67895
syc0792-h_at	206.7340237
syc0793-h_at	282.0141544
syc0794-h_at	262.4643588
syc0795-h_at	220.1473443
syc0796-h_at	734.3108333
syc0797-h_at	62.62394634
syc0798-h_at	155.2175643
syc0799-h_at	207.6896405
syc0800-h_at	103.0691252
syc0801-h_at	316.757636
syc0802-h_at	572.1354903
syc0803-h_at	600.2027347
syc0804-h_at	678.183692
syc0805-h_at	226.6329467
syc0806-h_at	403.2236495
syc0807-h_at	67.20165046
syc0808-h_at	112.7113737
syc0809-h_at	204.9066827
syc0810-h_at	812.7816959
syc0811-h_at	40.29414971
syc0812-h_at	5.288122753
syc0813-h_at	55.29792549
syc0814-h_at	46.77311547
syc0815-m_at	577.6975856
syc0816-m_at	93.68510959
syc0817-m_at	32.58975465
syc0818-m_at	32.86969427
syc0819-m_at	64.15371837
syc0820-m_at	59.42125387
syc0821-h_at	163.9211507
syc0822-h_at	2736.575841
syc0823-m_at	176.4496691
syc0824-m_at	819.236715
syc0825-m_at	2119.73383
syc0826-h_at	670.811728
syc0827-m_at	1227.118122
syc0828-h_at	199.6049872
syc0829-h_at	1662.796959
syc0830-m_at	117.390132
syc0831-m_at	431.524042
syc0832-h_at	551.569737
syc0833-h_at	527.9017323
syc0834-h_at	749.8690298
syc0835-h_at	162.1307402
syc0836-h_at	229.2641788
syc0837-m_at	3350.717208
syc0838-h_at	3083.405643
syc0839-h_at	807.7618539
syc0840-m_at	9028.421314
syc0841-m_at	7228.815797
syc0842-m_at	1222.527742
syc0843-m_at	5610.714002
syc0844-m_at	80.89489354
syc0845-m_at	209.2762993
syc0846-m_at	1085.505023
syc0847-m_at	168.1321938
syc0848-h_at	121.6940722
syc0849-h_at	891.1942527
syc0850-h_at	1025.63212
syc0851-h_at	1901.021624
syc0852-h_at	458.423716
syc0853-h_at	205.9026209
syc0854-h_at	799.9689752
syc0855-m_at	308.7466615
syc0856-h_at	643.3474634
syc0857-h_at	5560.821655
syc0858-h_at	463.4507644
syc0859-m_at	2134.175641
syc0860-h_at	132.2955771
syc0861-m_at	395.5271048
syc0862-h_at	1878.048347
syc0863-h_at	136.3302827
syc0864-h_at	288.8247024
syc0865-h_at	255.5708604
syc0866-h_at	261.6679422
syc0867-h_at	275.4696815
syc0868-h_at	1931.139075
syc0869-h_at	151.4187142
syc0870-m_at	292.5276226
syc0871-h_at	178.1671077
syc0872-h_at	195.4204874
syc0873-h_at	603.3437325
syc0874-h_at	321.3823802
syc0875-h_at	206.1537563
syc0876-m_at	549.3771971
syc0878-m_at	1541.684585
