Reporter Identifier	VALUE
637799266	-0.689824747
637799267	-0.364342561
637799268	-0.286336665
637799270	-0.223110414
637799271	-0.586113009
637799272	-0.523696909
637799273	-0.592911446
637799274	-0.362641664
637799275	-0.225127206
637799276	-0.182457467
637799277	-0.02101543
637799278	0.211275998
637799279	-0.126765979
637799280	-0.339024537
637799281	-0.068772278
637799282	-0.095604983
637799283	-0.110638209
637799284	-0.049147427
637799285	0.238638103
637799286	-0.135091741
637799287	-0.092258581
637799288	-0.041263607
637799289	-0.329743153
637799290	-0.240535834
637799291	-0.098420786
637799292	-0.174527323
637799293	0.12362488
637799294	0.188311673
637799295	0.268686574
637799296	-0.116932961
637799297	-0.154077719
637799298	-0.265555404
637799299	-0.552872643
637799300	-0.36715436
637799301	-0.448346117
637799302	-0.491917847
637799303	-0.62856913
637799304	-0.125856523
637799305	-0.000407039
637799307	-0.378413203
637799308	-0.174186514
637799309	0.162309171
637799310	-0.074182822
637799311	-0.045118985
637799312	0.066231308
637799313	0.119096942
637799314	0.125474711
637799315	0.383193783
637799316	0.071623417
637799317	-0.557813477
637799318	-0.073432047
637799319	-0.013105715
637799320	-0.072798574
637799321	-0.18743374
637799322	-0.184563713
637799323	-0.542461698
637799324	-0.472277051
637799325	-0.093674783
637799326	-0.138657839
637799327	-0.270348929
637799328	0.011811121
637799329	0.188987813
637799330	0.088736359
637799331	0.035932764
637799332	-0.364615741
637799333	-0.061055632
637799334	-0.180195147
637799335	-0.030993204
637799336	-0.191505268
637799337	-0.075364471
637799338	-0.028936023
637799339	0.104417002
637799340	-0.000679934
637799341	-0.061282585
637799343	-0.112663261
637799344	-0.212844723
637799345	-0.279356459
637799346	-0.492667067
637799347	-0.026436057
637799348	-0.159457529
637799349	-0.150924708
637799350	0.005586111
637799351	-0.072226613
637799352	0.08711972
637799353	-0.295585397
637799354	-0.049026673
637799355	0.097469054
637799356	0.214059021
637799357	-0.072656006
637799358	0.264066829
637799359	-0.231966035
637799360	0.162886792
637799361	-0.124003362
637799362	-0.136710599
637799363	-0.061125998
637799364	-0.165401753
637799366	0.13763898
637799367	-0.043464621
637799368	-0.011580121
637799369	0.19951845
637799370	-0.147797475
637799371	0.264796698
637799372	-0.10390169
637799373	-0.075537256
637799374	-0.179611516
637799375	-0.249912769
637799376	-0.319095188
637799377	0.202070305
637799378	-0.259871259
637799379	0.087628952
637799380	-0.120222315
637799381	-0.174269556
637799382	0.011012416
637799383	-0.148302907
637799384	0.086855637
637799385	-0.006618924
637799386	-0.176229074
637799387	0.341819066
637799388	-0.009470498
637799389	0.011085539
637799390	0.334625074
637799391	0.022548728
637799392	0.17538558
637799393	-0.083380414
637799394	0.007625224
637799395	0.058892828
637799396	-0.484983264
637799397	-0.217527357
637799398	0.069234642
637799399	-0.052024901
637799400	0.227980774
637799401	0.01117369
637799402	0.182388346
637799403	-0.052813821
637799404	0.008131275
637799405	-0.000516169
637799406	-0.235208798
637799407	-0.089605576
637799408	0.550112047
637799409	-0.213687189
637799410	-0.076735205
637799411	0.145583772
637799412	-0.242834597
637799413	0.112290081
637799414	0.006001692
637799415	-0.117042011
637799416	-0.452512935
637799417	-0.167033928
637799418	-0.434878743
637799419	-0.246292134
637799420	-0.299952492
637799422	-0.049391315
637799423	0.068173048
637799424	-0.198313315
637799425	0.031400893
637799426	-0.075808445
637799427	-0.098397309
637799428	-0.119538371
637799429	0.055290228
637799430	0.059398727
637799431	0.121124226
637799432	0.277090144
637799433	-0.170340536
637799434	0.05374392
637799435	0.002603136
637799436	-0.012935263
637799437	-0.171902155
637799438	-0.240856061
637799439	0.149976593
637799440	0.217786653
637799441	0.004066279
637799442	0.078034463
637799443	-0.006104052
637799444	0.046115147
637799445	0.015251629
637799448	-0.036366065
637799449	-0.096612998
637799450	0.011919309
637799451	-0.471160967
637799452	-0.365543037
637799453	-0.002518846
637799454	0.135616275
637799455	0.077220592
637799456	0.171546642
637799457	-0.063999255
637799458	-0.295105
637799459	-0.040122476
637799460	-0.19417742
637799461	-0.503212143
637799462	0.187145092
637799463	0.107697279
637799464	0.245799458
637799465	-0.029592775
637799466	0.00628041
637799467	-0.155287848
637799468	-0.284752515
637799469	0
637799470	0
637799471	-0.169398685
637799472	-0.148875531
637799473	0.094513679
637799474	0.012199676
637799475	-0.002897117
637799476	0.076073415
637799477	0.078116713
637799478	0.206089279
637799479	0.270893153
637799480	0.135660563
637799481	0.26603867
637799482	0.20823915
637799483	0.455468935
637799484	0.628754393
637799485	0.359225978
637799486	0.16195221
637799489	-0.040891492
637799490	0.085201723
637799491	0.102188952
637799492	-0.373884588
637799493	-0.055427777
637799494	0.064982514
637799495	0.022092915
637799497	-0.120800693
637799498	-0.07534759
637799499	-0.002704209
637799500	0.012938867
637799501	-0.251295114
637799502	0.013658023
637799503	-0.175464941
637799504	0.03137989
637799505	-0.104302263
637799506	-0.209934393
637799508	-0.183751234
637799509	-0.062350226
637799510	0.02241522
637799511	0.109881542
637799512	-0.495404322
637799513	-0.26833105
637799514	-0.397565008
637799515	0.060776684
637799516	0.064133551
637799517	0.517266769
637799518	-0.060088036
637799519	0.008975565
637799520	0.294607506
637799521	0.559823751
637799522	0.379197142
637799523	-0.287653165
637799524	-0.014589689
637799525	-0.007934621
637799526	-0.024553046
637799527	-0.28185208
637799528	0.054024648
637799529	0.089513104
637799530	0.02466743
637799531	-0.139467943
637799532	-0.230116095
637799533	0.140078302
637799534	0.261576599
637799535	-0.020758778
637799536	0.27431244
637799537	0.293720861
637799538	0.059270842
637799539	0.222193609
637799540	0.16326712
637799541	0.079917711
637799542	-0.436575549
637799543	-0.451606144
637799544	-0.237104331
637799545	-0.191855468
637799546	-0.529512246
637799547	0.029960317
637799548	-0.30167874
637799549	-0.372862567
637799550	-0.01867602
637799551	0.040685907
637799552	-0.082416131
637799553	-0.006044775
637799554	-0.066464164
637799555	0.052675887
637799556	0.08046184
637799557	-0.708056045
637799558	0.026987095
637799559	-0.046907319
637799560	0.378539589
637799561	0.026072514
637799562	-0.152308654
637799563	-0.217618872
637799564	-0.018121499
637799565	-0.112029738
637799566	0.065795487
637799567	0.050618701
637799568	-0.222484456
637799569	-0.18166936
637799570	-0.034495879
637799571	0.192998615
637799572	0.080961284
637799573	0.210883563
637799574	0.590647485
637799575	0.045301599
637799576	0.051332488
637799577	-0.055370576
637799578	-0.352453966
637799579	-0.186670058
637799580	0.085916506
637799581	-0.019621122
637799582	0.655610054
637799583	0.565607451
637799584	0.17659641
637799585	-0.082864828
637799586	0.155222083
637799587	-0.242091426
637799588	0.030289704
637799589	0.095491208
637799590	0.262468818
637799591	0.173488708
637799592	-0.001117255
637799594	-0.087367082
637799595	0.051151898
637799596	-0.125532442
637799597	-0.089814522
637799598	0.213288406
637799599	0.004457511
637799600	0.082713731
637799601	-0.438680169
637799602	-0.324720222
637799603	-0.372062966
637799604	-0.386382647
637799605	-0.139860706
637799606	-0.250543088
637799607	-0.463775212
637799608	-0.278758792
637799609	-0.194905375
637799610	0.013283574
637799611	0.056081233
637799612	0.231150778
637799613	0.02365934
637799614	0.182219375
637799615	-0.259546618
637799616	0.178406457
637799617	0.097538132
637799618	0.029633497
637799619	-0.335013597
637799620	-0.04727689
637799621	0.084961483
637799622	0.390137475
637799623	0.115433359
637799624	-0.036003793
637799625	-0.256423224
637799626	0.060800148
637799627	-0.04538672
637799628	-0.088053373
637799629	-0.043644872
637799630	0.088149079
637799631	-0.067440178
637799632	-0.227400354
637799634	-0.027094641
637799635	-0.297078006
637799636	-0.665341842
637799637	0.101610657
637799638	-0.07251326
637799639	0.132126531
637799640	-0.008404188
637799641	-0.009923078
637799643	-0.045506622
637799644	-0.048359589
637799645	0.445620998
637799646	0.206074176
637799647	-0.031094106
637799648	0.007599281
637799649	0.147130372
637799650	-0.306516359
637799651	-0.070917985
637799652	-0.157328584
637799653	0.035507003
637799654	-0.093413582
637799655	0.183248945
637799656	0.426346503
637799657	0.350347096
637799658	-0.210550079
637799659	-0.125709217
637799660	-0.700449858
637799661	-0.686225378
637799662	-0.20706483
637799663	0.204956533
637799664	0.188539336
637799665	-0.229997957
637799666	-0.567571983
637799667	-0.527662125
637799668	-0.060582808
637799669	-0.412826389
637799670	0.17183295
637799671	0.138077551
637799672	0.021688219
637799673	-0.295551827
637799674	-0.064484849
637799675	-0.066845242
637799676	0.039872614
637799677	0.211530506
637799678	0.130696615
637799679	0.149102512
637799680	0.094033652
637799681	-0.246879064
637799682	-0.152927498
637799683	-0.393649767
637799684	-0.081033896
637799685	-0.178289929
637799687	-0.092054452
637799688	-0.152560596
637799689	-0.059447469
637799690	-0.161689854
637799691	-0.280484741
637799692	-0.228074681
637799693	0.088565198
637799694	-0.07268157
637799695	-0.135961365
637799696	0.102896418
637799697	-0.167099557
637799698	0.221804379
637799699	-0.070683436
637799700	-0.166607451
637799701	-0.131207366
637799702	0.201763134
637799703	0.091217617
637799704	-0.193197938
637799705	0.353464566
637799706	-0.03253352
637799707	-0.297110079
637799708	-0.214526806
637799709	0.016107839
637799710	0.03562557
637799711	-0.041171115
637799712	0.254208107
637799713	0.036521309
637799714	-0.074578617
637799715	-0.020051262
637799716	-0.003172145
637799717	-0.465072526
637799718	0.14231706
637799719	0.02123456
637799720	-0.7218795
637799721	-0.088279623
637799722	-0.05034305
637799723	-0.512176879
637799724	-0.04475016
637799725	0.044927345
637799726	0.090828504
637799727	-0.193516107
637799728	-0.183878006
637799729	0.156195065
